Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 (5-fold),Train Time (s)
Logistic Regression,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,1.0,0.9283,0.048
SVM (RBF Kernel),0.9649122807017544,1.0,0.9047619047619048,0.95,0.998015873015873,0.9386,0.029
Random Forest,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9914021164021163,0.9376,0.869
XGBoost,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9970238095238095,0.9349,0.12
LightGBM,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9970238095238095,0.9347,0.056
CatBoost,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9976851851851852,0.9363,0.518
