Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 (5-fold),Train Time (s)
Logistic Regression,0.625,0.6086956521739131,0.7,0.6511627906976745,0.729375,0.6349,0.007
SVM (RBF Kernel),0.6375,0.6122448979591837,0.75,0.6741573033707865,0.679375,0.6591,0.027
Random Forest,0.6375,0.627906976744186,0.675,0.6506024096385542,0.660625,0.5965,0.531
XGBoost,0.625,0.631578947368421,0.6,0.6153846153846154,0.6218750000000001,0.6113,0.176
LightGBM,0.625,0.631578947368421,0.6,0.6153846153846154,0.6325000000000001,0.5837,0.056
CatBoost,0.6875,0.6744186046511628,0.725,0.6987951807228916,0.6875,0.6336,0.119
